股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI,daily_return,stock_code,return_mean_5,return_std_5,open_mean_5,close_mean_5,momentum_5,return_mean_10,return_std_10,open_mean_10,close_mean_10,momentum_10,return_mean_20,return_std_20,open_mean_20,close_mean_20,momentum_20,return_mean_60,return_std_60,open_mean_60,close_mean_60,momentum_60
000001.SZ,2024-04-25,10.61,10.5,10.62,10.48,10.53,0.08,0.7597,1113812.24,1176304.52,116.713,1225.4865,9.10605,1238.32493,9.20144,1239.49206,9.21012,1223.15224,9.0887,1228.98789,9.13207,0.054,0.046,0.016,54.233,53.495,55.709,58.39,55.849,55.313,9.378,9.083,8.788,51.986,0.010475453132807289,000001.SZ,-0.00014877154038783758,0.008591962800139989,9.171958,9.170224000000001,-0.01759300977341982,0.0061329860375074485,0.016004282799572837,9.044473,9.09911,0.035121112716047787,0.0024971338079647297,0.012454397041975231,9.0609515,9.083065999999999,0.000943132483462561,0.004481044027693585,0.017990713686531025,8.848911,8.886346666666668,0.1659332151532391
000001.SZ,2024-04-26,10.6,10.59,10.67,10.48,10.61,-0.01,-0.0943,1607627.51,1698581.44,116.713,1235.99067,9.1841,1237.1578,9.19277,1245.32771,9.25348,1223.15224,9.0887,1238.32493,9.20144,0.056,0.048,0.016,52.009,53.0,50.028,57.295,55.388,55.097,9.384,9.086,8.788,50.75,0.0009440228220509717,000001.SZ,0.00041362653060113,0.008543190354642495,9.151143999999999,9.154613999999999,-0.008418888512558897,0.007792959297303082,0.014258940949951716,9.076561,9.145941,0.05367782074764493,0.002686340696996975,0.012397661180759596,9.0622525,9.086101,0.006646904809095799,0.0042942137858442584,0.017967874056092365,8.871170166666667,8.907160500000002,0.15720536660649498
000001.SZ,2024-04-29,10.81,10.56,10.9,10.52,10.6,0.21,1.9811,2169177.37,2337350.88,116.713,1232.48928,9.15808,1261.66753,9.37489,1272.1717,9.45295,1227.82076,9.12339,1237.1578,9.19277,0.071,0.052,0.037,59.063,55.021,67.147,71.001,62.481,58.64,9.424,9.1,8.776,99.683,0.02367417624654955,000001.SZ,0.007779955170291508,0.009714795576596973,9.137268,9.208382,0.029523229061997336,0.007975593230429335,0.01446911073258065,9.119056,9.191037,0.05053378948512588,0.003965170368769399,0.013193025445759975,9.0644205,9.0999765,0.030504386977349585,0.004508221674783693,0.01812288348929145,8.890393999999999,8.928552499999999,0.15862826690659326
000001.SZ,2024-04-30,10.79,10.8,10.88,10.73,10.81,-0.02,-0.185,1324556.53,1431407.71,116.713,1260.5004,9.36622,1259.33327,9.35755,1269.83744,9.4356,1252.33049,9.30551,1261.66753,9.37489,0.081,0.058,0.045,58.916,56.319,64.108,68.489,61.466,58.184,9.454,9.112,8.769,107.79,-0.0009256669179242838,000001.SZ,0.007023877204755724,0.010322072055224986,9.187568,9.251743999999999,0.023719086200898465,0.007883026538636905,0.014528642773088801,9.164153,9.235267,0.049611620537842294,0.0035839974922812767,0.013220020122155268,9.079597000000001,9.1116845,0.025665898311921342,0.004189095837565178,0.018045727041851305,8.9116415,8.947198166666668,0.1357890277843523
000001.SZ,2024-05-06,10.89,10.96,11.11,10.84,10.79,0.1,0.9268,1784100.57,1953817.49,116.713,1279.17448,9.50498,1271.00457,9.44427,1296.68143,9.63507,1265.16892,9.40091,1259.33327,9.35755,0.094,0.065,0.058,61.499,58.046,68.406,74.007,64.603,59.815,9.492,9.123,8.753,146.443,-0.006387178089801382,000001.SZ,0.005556161438736429,0.011815150992540872,9.263886,9.314184000000001,0.03418721056671692,0.0037355072245842335,0.011504788003467017,9.22486,9.258682,0.025423121522846648,0.0026942913813251925,0.013264523356641605,9.0986765,9.122525,0.023496173378156016,0.003818664367577231,0.018030651159423396,8.933178000000002,8.965554833333334,0.13201691983693853
000001.SZ,2024-05-07,10.88,10.87,10.89,10.76,10.89,-0.01,-0.0918,1087056.65,1176786.41,116.713,1268.67031,9.42693,1269.83744,9.4356,1271.00457,9.44427,1255.83188,9.33153,1271.00457,9.44427,0.103,0.073,0.061,62.717,59.603,68.945,72.484,64.035,59.572,9.53,9.137,8.743,91.907,0.0009197055669236676,000001.SZ,0.0036450119255597045,0.011591225149628195,9.328062000000001,9.361016000000001,0.02544819071797466,0.0017481201925859335,0.009824545697043673,9.25001,9.26562,0.007407470676537686,0.003116573332011241,0.013054811043113816,9.1090835,9.136834499999999,0.03127961256518197,0.003816797741107893,0.018030950365077982,8.950233833333334,8.982610666666666,0.12164997473921968
000001.SZ,2024-05-08,10.73,10.84,10.88,10.71,10.88,-0.15,-1.3787,1221791.27,1318612.0,116.713,1265.16892,9.40091,1252.33049,9.30551,1269.83744,9.4356,1249.99623,9.28817,1269.83744,9.4356,0.099,0.078,0.041,55.657,58.288,50.397,52.89,55.971,56.018,9.548,9.149,8.75,52.678,-0.010147953761923012,000001.SZ,0.001426616608764908,0.013188727888697321,9.371424,9.383564,0.012263985719211945,0.000920121569683019,0.0104895712828249,9.261284,9.269089,0.0037418480781634678,0.0029415756364688074,0.013215067241531342,9.1225255,9.148541999999999,0.025812006137999166,0.003838425339352434,0.018013102685335503,8.968012333333332,9.000389000000002,0.129472581598556
000001.SZ,2024-05-09,10.76,10.71,10.82,10.71,10.73,0.03,0.2796,1069460.63,1150726.86,116.713,1249.99623,9.28817,1255.83188,9.33153,1262.83466,9.38357,1249.99623,9.28817,1252.33049,9.30551,0.096,0.082,0.029,52.489,56.355,44.759,55.76,57.148,56.559,9.567,9.163,8.759,38.997,0.004668303874713953,000001.SZ,-0.0023745578656022117,0.005896612647506643,9.397442,9.374892,-0.004625120934752314,0.0027026986523446483,0.0092758618211736,9.267355,9.291637,0.02476155962244886,0.0031270196195705034,0.013211810741848917,9.1351005,9.1628515,0.03163949613834327,0.003916230403931,0.018006322902843847,8.986079833333333,9.019179166666667,0.13741997922994797
000001.SZ,2024-05-10,10.94,10.77,10.96,10.76,10.76,0.18,1.6729,1767835.61,1923452.18,116.713,1256.99901,9.3402,1276.84022,9.48763,1279.17448,9.50498,1255.83188,9.33153,1255.83188,9.33153,0.105,0.086,0.038,59.332,57.347,63.301,69.249,63.531,59.665,9.608,9.186,8.765,97.877,0.015784458576904026,000001.SZ,0.0009674672333634504,0.01013515043338415,9.392238,9.400908000000001,0.013901074533398061,0.003995672219059587,0.010158554346167161,9.289902999999999,9.326326,0.037949881519439455,0.004060073515521412,0.01342276582842832,9.1498435,9.186267,0.051922983107373755,0.004179304713546067,0.018063352588876196,9.005737333333334,9.041293833333333,0.16259289893698492
000001.SZ,2024-05-13,10.97,10.9,11.01,10.81,10.94,0.03,0.2742,1402498.6,1530058.92,116.713,1272.1717,9.45295,1280.34161,9.51365,1285.01013,9.54834,1261.66753,9.37489,1276.84022,9.48763,0.114,0.092,0.043,65.48,60.058,76.325,71.017,64.493,60.16,9.642,9.216,8.791,110.236,0.006421275898000234,000001.SZ,0.0035291580309237736,0.009403815975957559,9.381832,9.414784000000001,0.007346253336679265,0.004542659734830101,0.010123625001742041,9.322859,9.364484000000001,0.041784611813093786,0.004862864663737021,0.01303514556571704,9.172391999999999,9.216187,0.06712094444911809,0.004551725971739521,0.017871177170149848,9.027129333333333,9.065865666666667,0.18338694469944072
